procurement-id_id-approvisionnement,Project-number_Numéro-de-projet,Vendor-name_Nom-du-fournisseur,Payment-date_Date-de-paiement,Proper-Invoice-Received-Date_date-de-réception-de-la-facture-en-règle
EJ19650737,R.064594.752,"CUMMINS EST DU CANADA SEC",2017-05-16,2017-04-21
EJ19670523,R.064594.555,"LAR-MEX INC.",2017-05-24,2017-04-27
700380240,R.089361.001,"ECO-TECHNOLOGIES LTEE",2017-05-20,2017-04-26
E172065001,R.017562.004,"0938532 B.C. LTD.",2017-05-16,2017-04-19
EJ19670523,R.064594.555,"LAR-MEX INC.",2017-05-26,2017-05-02
ET25170990,R.055495.006,"CON-PRO INDUSTRIES CANADA LTD.",2017-05-11,2017-04-17
EJ19680830,R.041736.444,"COMPLETE ENTRY SYSTEMS AND SERVICES",2017-05-26,2017-05-02
EA03171358,R.078642.001,"TRAYTOWN BUILDERS LTD",2017-05-24,2017-04-30
700250389,R.064594.561,"4192338 CANADA INC.",2017-05-25,2017-05-01
EJ19680830,R.041736.118,"COMPLETE ENTRY SYSTEMS AND SERVICES",2017-05-26,2017-05-02
EJ19680830,R.041736.131,"COMPLETE ENTRY SYSTEMS AND SERVICES",2017-05-26,2017-05-02
EJ19680830,R.041736.173,"COMPLETE ENTRY SYSTEMS AND SERVICES",2017-05-26,2017-05-02
EJ19680830,R.041736.289,"COMPLETE ENTRY SYSTEMS AND SERVICES",2017-05-26,2017-05-02
EJ19680830,R.041736.365,"COMPLETE ENTRY SYSTEMS AND SERVICES",2017-05-26,2017-05-02
EJ19680830,R.041736.486,"COMPLETE ENTRY SYSTEMS AND SERVICES",2017-05-26,2017-05-02
EJ19680830,R.041736.488,"COMPLETE ENTRY SYSTEMS AND SERVICES",2017-05-26,2017-05-02
EJ19680830,R.041736.550,"COMPLETE ENTRY SYSTEMS AND SERVICES",2017-05-26,2017-05-02
EJ19680830,R.041736.552,"COMPLETE ENTRY SYSTEMS AND SERVICES",2017-05-26,2017-05-02
EJ19680830,R.041736.553,"COMPLETE ENTRY SYSTEMS AND SERVICES",2017-05-26,2017-05-02
EJ19680830,R.041736.554,"COMPLETE ENTRY SYSTEMS AND SERVICES",2017-05-26,2017-05-02
EJ19680830,R.041736.691,"COMPLETE ENTRY SYSTEMS AND SERVICES",2017-05-26,2017-05-02
EJ19680830,R.046344.003,"COMPLETE ENTRY SYSTEMS AND SERVICES",2017-05-26,2017-05-02
700380232,R.089303.001,"ECO-TECHNOLOGIES LTEE",2017-05-26,2017-05-02
700380240,R.089361.001,"ECO-TECHNOLOGIES LTEE",2017-05-26,2017-05-02
EJ19620270,R.041736.174,"THYSSENKRUPP ELEVATOR (CANADA)",2017-05-25,2017-05-01
EA03160529,R.087350.001,"J.W. LINDSAY ENTERPRISES LIMITED",2017-05-24,2017-04-28
EF140858,R.035055.800,"WSP CANADA INC",2017-05-30,2017-05-04
EF160898,R.078420.001,"SNC-LAVALIN INC.",2017-05-10,2017-04-11
E02268C004,R.029903.001,"OTIS CANADA INC",2017-05-19,2017-04-25
EF-151752,R.071251.001,"BISSON FORTIN ARCHITECTURE +",2017-05-25,2017-05-01
E172263001,R.082450.001,"WESTERN OIL SERVICES LTD",2017-05-24,2017-04-27
EW03860886,R.077101.001,"CHANDOS CONSTRUCTION LP",2017-05-11,2017-04-06
EJ19660460,R.041736.314,"BLACK & MCDONALD LTD.",2017-05-30,2017-05-04
EF-160790,R.042138.001,"CONSTRUCTION CYBCO INC",2017-06-01,2017-05-08
EE47470239,R.072490.100,"RONAM CONSTRUCTION INC",2017-05-26,2017-05-02
EJ19662558,R.026001.070,"CPE DIVISION B INC",2017-05-24,2017-04-28
E160345001,R.077703.001,"MICHAEL CUCCIONE",2017-05-30,2017-05-06
E160345001,R.077720.001,"MICHAEL CUCCIONE",2017-05-30,2017-05-06
E160345001,R.078882.001,"MICHAEL CUCCIONE",2017-05-30,2017-05-06
E160345001,R.082589.001,"MICHAEL CUCCIONE",2017-05-30,2017-05-06
E160345001,R.089161.001,"MICHAEL CUCCIONE",2017-05-30,2017-05-06
E160345001,R.089278.001,"MICHAEL CUCCIONE",2017-05-30,2017-05-06
EQ75452367,R.050927.102,"MCNALLY CONSTRUCTION INC",2017-05-27,2017-05-03
EQ73070463,R.073376.001,"GULF DEVELOPMENTS INC.",2017-05-27,2017-05-03
E899141458,R.016019.001,"PRIME BUILDING MAINTENANCE LTD.",2017-05-24,2017-04-27
EE51962420,R.071677.001,"DUOTECH CONSTRUCTION INC.",2017-05-30,2017-05-05
EQ71570976,R.074203.001,"SDI BUILDERS 2010 LTD.",2017-06-01,2017-05-08
EC37371384,R.080450.001,"EBC INC",2017-05-26,2017-05-02
E020162573,R.016003.001,"ABCO MAINTENANCE SYSTEMS INC.",2017-05-26,2017-05-02
EC37371767,R.075852.001,"BAY CONSTRUCTION MANAGEMENT INC.",2017-05-27,2017-05-03
EQ75470122,R.078886.001,"LOUIS W. BRAY CONSTRUCTION LIMITED",2017-05-19,2017-05-10
EB14470034,R.072239.001,"NCL - NORTHERN CONTRACTING LIMITED",2017-05-16,2017-04-10
ED00171447,R.071322.001,"7305516 CANADA LTD.",2017-05-16,2017-03-31
ED00171447,R.077636.001,"7305516 CANADA LTD.",2017-05-16,2017-03-31
700335267,R.014204.301,"IMPERIAL OIL LIMITED,",2017-05-24,2017-04-28
700335267,R.014204.301,"IMPERIAL OIL LIMITED,",2017-05-27,2017-05-03
700335267,R.014204.301,"IMPERIAL OIL LIMITED,",2017-06-03,2017-05-09
EF9447439,R.004236.001,"PROCETECH INC.",2017-05-24,2017-04-27
EP92271041,R.071094.001,"WESTCO CONSTRUCTION LTD.",2017-05-30,2017-05-04
EE51970902,R.071686.002,"CONSTRUCTION L F G INC",2017-06-03,2017-05-09
EE51970902,R.080331.001,"CONSTRUCTION L F G INC",2017-06-03,2017-05-09
EJ19640072,R.041736.711,"GENREP LTD/LTEE",2017-05-17,2017-04-22
EJ19640722,R.041736.775,"EATON INDUSTRIES (CANADA) COMPANY",2017-05-17,2017-03-01
EC37362242,R.076368.001,"DEBLY ENTERPRISES LIMITED",2017-06-03,2017-05-10
EC01660846,R.035143.001,"AVONDALE CONSTRUCTION LIMITED",2017-06-09,2017-05-16
EE52071061,R.077249.100,"9002-1205 QUÉBEC INC.",2017-05-27,2017-05-03
E020850548,R.036324.001,"WRIGHT CONSTRUCTION WESTERN INC",2017-05-18,2017-04-21
E072070/C,R.079450.001,"GREEN TIMBERS LIMITED PARTNERSHIP",2017-06-06,2017-05-08
ET25160594,R.074103.001,"BUUS CONSTRUCTION LTD.",2017-05-27,2017-05-03
EP92271869,R.086095.001,"CHANDOS CONSTRUCTION LP",2017-05-18,2017-04-19
EP76161390,R.065054.001,"BLACK & MCDONALD LTD.",2017-06-08,2017-05-15
ET25160915,R.076331.001,"HDK CONSULTING INCORPORATED",2017-05-26,2017-05-02
EC01570904,R.076591.003,"NORTHEAST TREE TRIMMING LTD.",2017-06-08,2017-05-15
ET25162743,R.073107.001,"CANOTECH CONSULTANTS LTD",2017-05-27,2017-05-03
E020850548,R.036324.001,"WRIGHT CONSTRUCTION WESTERN INC",2017-05-25,2017-05-01
EF170382,R.053680.201,"LES CONSTRUCTIONS DES ILES INC",2017-06-03,2017-05-09
EQ75471352,R.051672.001,"TERCO CONSTRUCTION LIMITED",2017-06-01,2017-05-08
EQ75160998,R.073921.301,"FACCA INCORPORATED",2017-06-03,2017-05-10
EE52072160,R.078231.001,"9014-2050 QUEBEC INC",2017-06-08,2017-05-15
EE51770135,R.078924.100,"LES CONSTRUCTIONS BELAND &",2017-06-01,2017-05-08
EJ19670523,R.064594.555,"LAR-MEX INC.",2017-06-13,2017-05-18
EJ19650923,R.064595.023,"AINSWORTH INC.",2017-06-13,2017-05-18
EJ19641048,R.041736.117,"BLACK & MCDONALD LTD.",2017-06-16,2017-05-23
EJ19641048,R.041736.130,"BLACK & MCDONALD LTD.",2017-06-16,2017-05-23
EJ19641048,R.041736.322,"BLACK & MCDONALD LTD.",2017-06-16,2017-05-23
EJ19641048,R.041736.323,"BLACK & MCDONALD LTD.",2017-06-16,2017-05-23
EJ19641048,R.041736.324,"BLACK & MCDONALD LTD.",2017-06-16,2017-05-23
EJ19641048,R.041736.325,"BLACK & MCDONALD LTD.",2017-06-16,2017-05-23
EJ19641048,R.041736.695,"BLACK & MCDONALD LTD.",2017-06-16,2017-05-23
EJ19641048,R.041736.955,"BLACK & MCDONALD LTD.",2017-06-16,2017-05-23
EA03172624,R.081781.006,"R J G CONSTRUCTION LTD.",2017-05-25,2017-05-01
EC15170160,R.050329.002,"GREY ROCK SERVICES INC.",2017-05-30,2017-05-04
EJ19680830,R.041736.550,"COMPLETE ENTRY SYSTEMS AND SERVICES",2017-05-24,2017-04-23
EB20161736,R.084349.001,"STANTEC ARCHITECTURE LTD.",2017-05-30,2017-05-05
E899152075,R.016014.001,"PRIME BUILDING MAINTENANCE LTD.",2017-05-26,2017-05-02
E899141458,R.016018.001,"PRIME BUILDING MAINTENANCE LTD.",2017-05-26,2017-05-02
E899141458,R.016019.001,"PRIME BUILDING MAINTENANCE LTD.",2017-05-26,2017-05-02
E020961645,R.076692.001,"ELLISDON CORPORATION",2017-05-26,2017-05-02
EQ75171545,R.079197.029,"GREYLEITH ENGINEERING AND",2017-05-25,2017-04-28
EJ1965167,R.011899.009,"THE DOOR COMPANY INC.",2017-06-06,2017-05-11
EJ19662008,R.064594.514,"CHUBB EDWARDS A UTC FIRE & SECURITY",2017-06-16,2017-05-23
EQ75471445,R.064667.004,"QUINAN CONSTRUCTION LIMITED",2017-06-08,2017-05-15
ET25173066,R.084483.001,"ASSOCIATED ENGINEERING (SASK.) LTD.",2017-05-26,2017-05-02
ET25170559,R.076331.001,"CRANE STEEL STRUCTURES LTD.",2017-06-06,2017-05-12
EP92271040,R.083678.001,"NITRO CONSTRUCTION LTD.",2017-05-27,2017-05-03
EQ75461422,R.054345.001,"1320376 ONTARIO LTD.",2017-06-03,2017-05-10
EW03870023,R.076117.001,"GRAHAM INFRASTRUCTURE L P",2017-06-01,2017-05-08
EQ71071023,R.076919.001,"AVERY CONSTRUCTION LIMITED",2017-06-06,2017-05-11
EQ75472338,R.045086.002,"W.S. MORGAN CONSTRUCTION LIMITED",2017-06-10,2017-05-17
EJ1965167,R.011899.009,"THE DOOR COMPANY INC.",2017-06-20,2017-05-26
EC15161626,R.076598.003,"L BREAU AND SONS LTD",2017-06-13,2017-05-18
EC01551966,R.069388.001,"TITANIUM CONSTRUCTION LTEE",2017-06-13,2017-05-19
EQ44750527,R.077324.003,"ONTARIO CLEAN WATER AGENCY",2017-05-27,2017-05-02
EJ19662536,R.041736.809,"GENREP LTD/LTEE",2017-05-26,2017-04-29
EJ19640072,R.041736.711,"GENREP LTD/LTEE",2017-06-08,2017-05-15
EJ19661833,R.041736.859,"AV-TECH INC.",2017-05-26,2017-04-25
EJ19661833,R.041736.859,"AV-TECH INC.",2017-06-20,2017-05-25
ET25170830,R.076333.001,"WINKLER BUILDING SUPPLIES (1981)",2017-06-13,2017-05-19
EV38571797,R.082806.001,"PCL CONSTRUCTION MANAGEMENT INC.",2017-05-27,2017-04-28
EJ19650737,R.064594.752,"CUMMINS EST DU CANADA SEC",2017-06-13,2017-05-19
E899141458,R.016018.001,"PRIME BUILDING MAINTENANCE LTD.",2017-06-01,2017-05-08
E899141458,R.016019.001,"PRIME BUILDING MAINTENANCE LTD.",2017-06-01,2017-05-08
EE52071062,R.077243.100,"CONSTRUCTION DERIC INC",2017-06-13,2017-05-19
700380240,R.089361.001,"ECO-TECHNOLOGIES LTEE",2017-06-10,2017-05-17
700380232,R.089303.001,"ECO-TECHNOLOGIES LTEE",2017-06-10,2017-05-17
EA03172166,R.083487.001,"COADY CONSTRUCTION & EXCAVATING",2017-05-30,2017-05-01
EJ19602299,R.041736.262,"CHUBB EDWARDS A UTC FIRE & SECURITY",2017-06-06,2017-05-11
EJ19602299,R.041736.240,"CHUBB EDWARDS A UTC FIRE & SECURITY",2017-06-06,2017-05-11
E899152075,R.016014.001,"PRIME BUILDING MAINTENANCE LTD.",2017-06-01,2017-05-08
EF94472249,R.042032.001,"CONSTRUCTION BUGERE INC",2017-05-30,2017-05-03
EF160898,R.078420.100,"SNC-LAVALIN INC.",2017-06-10,2017-05-17
E170526001,R.076290.002,"STORY CONSTRUCTION LTD",2017-06-02,2017-04-24
E425150319,R.016747.001,"JOSEPH BELANGER",2017-06-01,2017-05-08
EQ75170996,R.076951.019,"MAPLE REINDERS CONSTRUCTORS LTD.",2017-05-31,2017-05-26
EQ75170996,R.076951.139,"MAPLE REINDERS CONSTRUCTORS LTD.",2017-05-31,2017-05-26
EQ75170996,R.076951.239,"MAPLE REINDERS CONSTRUCTORS LTD.",2017-05-31,2017-05-26
EQ75170996,R.076951.339,"MAPLE REINDERS CONSTRUCTORS LTD.",2017-05-31,2017-05-26
EQ75170996,R.076951.439,"MAPLE REINDERS CONSTRUCTORS LTD.",2017-05-31,2017-05-26
EQ75170996,R.076951.539,"MAPLE REINDERS CONSTRUCTORS LTD.",2017-05-31,2017-05-26
EQ75170996,R.076951.639,"MAPLE REINDERS CONSTRUCTORS LTD.",2017-05-31,2017-05-26
EQ75170996,R.076951.739,"MAPLE REINDERS CONSTRUCTORS LTD.",2017-05-31,2017-05-26
EQ75170996,R.076951.839,"MAPLE REINDERS CONSTRUCTORS LTD.",2017-05-31,2017-05-26
EQ75170996,R.076951.939,"MAPLE REINDERS CONSTRUCTORS LTD.",2017-05-31,2017-05-26
EJ19650574,R.063994.003,"CUMMINS EST DU CANADA SEC",2017-05-31,2017-05-02
EJ19640144,R.064594.754,"G A L POWER SYSTEMS OTTAWA LTD",2017-06-09,2017-05-16
EV38571578,R.076621.001,"HIPPERSON CONSTRUCTION PARTNERSHIP",2017-06-16,2017-05-24
EJ19670400,R.041736.156,"CORAL CANADA WIDE LTD.",2017-06-20,2017-05-25
ED00171447,R.071322.001,"7305516 CANADA LTD.",2017-06-01,2017-05-03
ED00171447,R.077636.001,"7305516 CANADA LTD.",2017-06-01,2017-05-03
EE52062077,R.079726.001,"MAÇONNERIE DYNAMIQUE LTÉE",2017-06-16,2017-05-23
EC15162530,R.069499.001,"BUTTCON EAST LIMITED",2017-06-01,2017-05-04
EF171365,R.067720.800,"CONSTRUCTION GENFOR LTÉE",2017-06-13,2017-05-18
E160345001,R.077720.001,"MICHAEL CUCCIONE",2017-06-16,2017-05-23
E160345001,R.077724.001,"MICHAEL CUCCIONE",2017-06-16,2017-05-23
E160345001,R.078882.001,"MICHAEL CUCCIONE",2017-06-16,2017-05-23
E160345001,R.089161.001,"MICHAEL CUCCIONE",2017-06-16,2017-05-23
E160345001,R.089278.001,"MICHAEL CUCCIONE",2017-06-16,2017-05-23
E160345001,R.089280.001,"MICHAEL CUCCIONE",2017-06-16,2017-05-23
700364859,R.073614.331,"TEKNION LIMITED",2017-06-01,2017-05-05
E151176001,R.016017.001,"EVERGREEN BUILDING MAINTENANCE INC.",2017-06-03,2017-05-08
EJ19662536,R.041736.809,"GENREP LTD/LTEE",2017-06-20,2017-05-27
700368937,R.073614.331,"TEKNION LIMITED",2017-06-02,2017-05-05
700368869,R.073614.331,"TEKNION LIMITED",2017-06-02,2017-05-05
EV38561662,R.026175.001,"QUOREX CONSTRUCTION SERVICES LTD",2017-06-06,2017-05-12
EH36160558,R.058567.002,"MICHANIE CONSTRUCTION INC.",2017-06-02,2017-05-04
EF99770560,R.068861.100,"POMERLEAU INC.",2017-06-16,2017-05-24
EJ19640722,R.026001.028,"EATON INDUSTRIES (CANADA) COMPANY",2017-06-13,2017-05-19
EJ19640722,R.081789.002,"EATON INDUSTRIES (CANADA) COMPANY",2017-06-13,2017-05-19
EB14471590,R.082137.001,"ACADIAN MARINE & DIVING LTD",2017-06-02,2017-05-02
EB14472110,R.075924.001,"ALVA CONSTRUCTION LIMITED",2017-06-02,2017-05-05
700335267,R.014204.301,"IMPERIAL OIL LIMITED,",2017-06-13,2017-05-18
EJ19640722,R.041736.774,"EATON INDUSTRIES (CANADA) COMPANY",2017-06-13,2017-05-19
700335267,R.014204.301,"IMPERIAL OIL LIMITED,",2017-06-16,2017-05-24
EJ19640722,R.041736.773,"EATON INDUSTRIES (CANADA) COMPANY",2017-06-13,2017-05-19
EP78812096,R.041736.302,"OTIS CANADA INC",2017-06-20,2017-05-25
ET02571264,R.068431.001,"BIRD CONSTRUCTION GROUP",2017-06-20,2017-05-26
ED00171938,R.073771.009,"QUINAN CONSTRUCTION LIMITED",2017-06-06,2017-05-11
EA03171099,R.079276.001,"KEAN'S ENTERPRISES LIMITED",2017-06-03,2017-04-27
EQ73472828,R.072645.001,"AMHERST ROOFING & SHEETMETAL LTD.",2017-06-03,2017-05-04
EW03871054,R.073456.007,"ARCTIC CANADA CONSTRUCTION LTD.",2017-06-03,2017-05-04
EW03871054,R.073456.008,"ARCTIC CANADA CONSTRUCTION LTD.",2017-06-03,2017-05-04
E170807001,R.078882.001,"BOSTON CONSTRUCTION CORP",2017-06-08,2017-05-15
EE51770979,R.083284.020,"CIMA + SENC",2017-06-06,2017-05-12
E020942118,R.076517.001,"CCR CONSTRUCTION LTD.",2017-06-10,2017-05-17
E899141456,R.016016.001,"BEE-CLEAN BUILDING MAINTENANCE",2017-06-08,2017-05-15
EQ44750527,R.077324.004,"ONTARIO CLEAN WATER AGENCY",2017-06-08,2017-05-15
EJ19640722,R.041736.775,"EATON INDUSTRIES (CANADA) COMPANY",2017-06-13,2017-05-19
EB14472891,R.087417.001,"RIKJAK CONSTRUCTION LIMITED",2017-06-07,2017-05-03
EW03860886,R.077101.001,"CHANDOS CONSTRUCTION LP",2017-06-10,2017-05-17
E170892001,R.078416.001,"SCHUBERT PLUMBING & HEATING LTD.",2017-06-20,2017-05-16
EA00370205,R.079115.001,"R J G CONSTRUCTION LTD.",2017-06-08,2017-05-01
EA03171866,R.082169.001,"R J G CONSTRUCTION LTD.",2017-06-08,2017-05-04
EA03171669,R.053663.028,"J.M.J. HOLDINGS LTD.",2017-06-08,2017-05-15
EP76162670,R.075351.001,"4083261 CANADA INC.",2017-06-08,2017-05-07
ET25170316,R.075208.001,"WINNIPEG ENVIRONMENTAL",2017-06-08,2017-05-09
EE47470313,R.078241.101,"JES CONSTRUCTION INC.",2017-06-08,2017-05-03
ET25171498,R.075212.001,"BOCKSTAEL CONSTRUCTION LIMITED",2017-06-08,2017-05-10
E171613001,R.077014.001,"UNIVERSAL SHEET METAL LTD.",2017-06-09,2017-05-09
E172401001,R.080256.003,"WESTERN WATERSHED DESIGNS INC.",2017-06-09,2017-05-16
EV38572100,R.080397.005,"VCM CONSTRUCTION LTD",2017-06-09,2017-05-09
EJ19670508,R.076679.002,"CUMMINS EST DU CANADA SEC",2017-06-09,2017-04-25
EJ19613217,R.041736.215,"VCI CONTROLS INC.",2017-06-09,2017-03-31
E151176001,R.016017.001,"EVERGREEN BUILDING MAINTENANCE INC.",2017-06-09,2017-05-15
EJ19661309,R.064594.512,"DIRECT ENERGY BUSINESS SERVICES",2017-06-10,2017-03-31
EJ19660513,R.064594.513,"VCI CONTROLS INC.",2017-06-10,2017-03-31
EJ19652022,R.041736.172,"SIEMENS CANADA LIMITED",2017-06-10,2017-03-15
EJ19652022,R.041736.492,"SIEMENS CANADA LIMITED",2017-06-10,2017-03-15
EJ19652022,R.041736.494,"SIEMENS CANADA LIMITED",2017-06-10,2017-03-15
EJ19652022,R.041736.495,"SIEMENS CANADA LIMITED",2017-06-10,2017-03-15
EB14471504,R.084349.001,"AVONDALE CONSTRUCTION LIMITED",2017-06-10,2017-05-10
EB20171795,R.083285.001,"ALVA CONSTRUCTION LIMITED",2017-06-10,2017-05-09
EB14470555,R.077238.001,"ALVA CONSTRUCTION LIMITED",2017-06-10,2017-05-09
E144160683,R.064236.006,"BIRD CONSTRUCTION GROUP",2017-06-10,2017-05-12
EC37362497,R.076505.003,"FUNDY CONTRACTORS, LTD.",2017-06-16,2017-05-23
EJ19651337,R.011899.059,"CUMMINS EST DU CANADA SEC",2017-06-16,2017-05-23
EJ19651337,R.011900.035,"CUMMINS EST DU CANADA SEC",2017-06-16,2017-05-23
EQ73473317,R.070386.001,"AINLEY GRAHAM & ASSOCIATES LIMITED",2017-06-16,2017-05-24
EA03161012,R.075158.001,"R J G CONSTRUCTION LTD.",2017-06-14,2017-05-04
ED00171995,R.081199.001,"FITZGERALD & SNOW (2010) LTD.",2017-06-14,2017-05-10
E899141458,R.016018.001,"PRIME BUILDING MAINTENANCE LTD.",2017-06-16,2017-05-24
E899141458,R.016019.001,"PRIME BUILDING MAINTENANCE LTD.",2017-06-16,2017-05-24
EW3862792,R.058364.003,"ALLWEST FURNISHINGS LTD.",2017-06-16,2017-05-23
EJ19670124,R.041736.845,"OTIS CANADA INC",2017-06-16,2017-05-16
ET25170749,R.069675.004,"MARRBECK CONSTRUCTION LTD.",2017-06-16,2017-05-15
EC01571311,R.053749.001,"MAXIM 2000 INC.",2017-06-20,2017-05-09
700380240,R.089361.001,"ECO-TECHNOLOGIES LTEE",2017-06-20,2017-05-23
700380232,R.089303.001,"ECO-TECHNOLOGIES LTEE",2017-06-20,2017-05-25
EQ73470081,R.069656.001,"JEFFREY G WALLANS CONSTRUCTION",2017-06-20,2017-05-24
EJ19640084,R.041736.183,"CUMMINS EST DU CANADA SEC",2017-06-22,2017-05-29
EJ19640084,R.041736.423,"CUMMINS EST DU CANADA SEC",2017-06-22,2017-05-29
EJ19640084,R.041736.442,"CUMMINS EST DU CANADA SEC",2017-06-22,2017-05-29
